Alberta,Calgary,Calgary International Airport
Alberta,Edmonton,Edmonton International Airport
Alberta,Fort McMurray,Fort McMurray International Airport
British Columbia,Abbotsford,Abbotsford International Airport
British Columbia,Kamloops,Kamloops Airport
British Columbia,Kelowna,Kelowna International Airport
British Columbia,Prince George,Prince George Airport
British Columbia,Vancouver,Vancouver International Airport
British Columbia,Victoria,Victoria International Airport
Manitoba,Winnipeg,Winnipeg James Armstrong Richardson International Airport
New Brunswick,Saint John,Saint John Airport
Newfoundland and Labrador,Deer Lake,Deer Lake Regional Airport
Nova Scotia,Halifax,Halifax Stanfield International Airport
Ontario,Kitchener/Waterloo,Region of Waterloo International Airport
Ontario,London,London International Airport
Ontario,Ottawa,Ottawa Macdonald–Cartier International Airport
Ontario,Thunder Bay,Thunder Bay International Airport
Ontario,Toronto,Toronto Pearson International Airport
Ontario,Windsor,Windsor International Airport
Prince Edward Island,Charlottetown,Charlottetown Airport
Quebec,Montreal,Montréal–Trudeau International Airport
Quebec,Québec City,Québec City Jean Lesage International Airport
Saskatchewan,Saskatoon,Saskatoon John G. Diefenbaker International Airport